Category|CategoryID|ProductName|Description|Price|ImageFile
Lan Phalaenopsis|phalaenopsis|Phalaenopsis Đỏ Tươi|Đỏ tươi, hoa lớn, nở lâu dài|399.000đ|menu-item-1.png
Lan Phalaenopsis|phalaenopsis|Phalaenopsis Trắng Tinh|Trắng tinh, hoa xinh, dễ trồng|399.000đ|menu-item-2.png
Lan Phalaenopsis|phalaenopsis|Phalaenopsis Vàng Lòng Đỏ|Vàng, lòng đỏ, quý hiếm|450.000đ|menu-item-3.png
Lan Phalaenopsis|phalaenopsis|Phalaenopsis Hồng Nhạt|Hồng nhạt, nở rộ, thơm nhẹ|399.000đ|menu-item-4.png
Lan Phalaenopsis|phalaenopsis|Phalaenopsis Đốm Đỏ|Trắng đốm đỏ, hoa nét, ấn tượng|650.000đ|menu-item-5.png
Lan Phalaenopsis|phalaenopsis|Phalaenopsis Tím Đậm|Tím đậm, quý hiếm, nở đẹp|380.000đ|menu-item-6.png
Lan Cattleya|cattleya|Cattleya Hồng Đẹp|Hồng tươi, hoa to, mùi thơm|699.000đ|menu-item-1.png
Lan Cattleya|cattleya|Cattleya Tím Nhạt|Tím nhạt, quý hiếm, nở dài|749.000đ|menu-item-2.png
Lan Cattleya|cattleya|Cattleya Trắng Tinh|Trắng, hoa lớn, sang trọng|799.000đ|menu-item-3.png
Lan Cattleya|cattleya|Cattleya Đỏ Tươi|Đỏ, hoa đẹp, dễ chăm sóc|729.000đ|menu-item-4.png
Lan Cattleya|cattleya|Cattleya Vàng Vàng|Vàng sáng, ít gặp, đặc biệt|850.000đ|menu-item-5.png
Lan Cattleya|cattleya|Cattleya Tấn Cảnh|Lớn, đẹp, phù hợp trang trí|999.000đ|menu-item-6.png
Lan Dendrobium|dendrobium|Dendrobium Hồng Đào|Hồng nhạt, hoa nhỏ xinh, nở nhiều|299.000đ|menu-item-1.png
Lan Dendrobium|dendrobium|Dendrobium Trắng Tinh|Trắng, sạch sẽ, thanh lịch|319.000đ|menu-item-2.png
Lan Dendrobium|dendrobium|Dendrobium Tím|Tím đẹp, hoa dài, lâu tàn|349.000đ|menu-item-3.png
Lan Dendrobium|dendrobium|Dendrobium Vàng Ẻo|Vàng sáng, nền trang trí|329.000đ|menu-item-4.png
Lan Dendrobium|dendrobium|Dendrobium Cam Đẹp|Cam nổi bật, hoa to, quý hiếm|399.000đ|menu-item-5.png
Lan Dendrobium|dendrobium|Dendrobium Lỏng Hoa|Hoa dài lơ lửng, kiểu dáng độc|459.000đ|menu-item-6.png
Lan Oncidium|oncidium|Oncidium Vàng Sáng|Vàng tươi, hoa nhỏ xinh, như bướm|349.000đ|menu-item-1.png
Lan Oncidium|oncidium|Oncidium Cam Đỏ|Cam đỏ, nổi bật, lấp lánh|379.000đ|menu-item-2.png
Lan Oncidium|oncidium|Oncidium Đỏ Sẫm|Đỏ sâu, quý hiếm, cô đặc|399.000đ|menu-item-3.png
Lan Oncidium|oncidium|Oncidium Nâu Vàng|Nâu vàng, độc đáo, hợp lộc|359.000đ|menu-item-4.png
Lan Oncidium|oncidium|Oncidium Hồng Tím|Hồng tím, ấn tượng, nở nhiều|389.000đ|menu-item-5.png
Lan Oncidium|oncidium|Oncidium Trắng Sữa|Trắng mềm, thanh lịch, quý phái|369.000đ|menu-item-6.png
